"Time","Total Active Sessions"
2026-08-20 16:46:00,1044
2026-08-20 16:46:20,1044
2026-08-20 16:46:40,1044
2026-08-20 16:47:00,1044
2026-08-20 16:47:20,1044
2026-08-20 16:47:40,1044
2026-08-20 16:48:00,1044
2026-08-20 16:48:20,1044
2026-08-20 16:48:40,1044
2026-08-20 16:49:00,1044
2026-08-20 16:49:20,1044
2026-08-20 16:49:40,1044
2026-08-20 16:50:00,1044
2026-08-20 16:50:20,1044
2026-08-20 16:50:40,1044
2026-08-20 16:51:00,1044
2026-08-20 16:51:20,1044
2026-08-20 16:51:40,1044
2026-08-20 16:52:00,1044
2026-08-20 16:52:20,1044
2026-08-20 16:52:40,1044
2026-08-20 16:53:00,1044
2026-08-20 16:53:20,1044
2026-08-20 16:53:40,1044
2026-08-20 16:54:00,1044
2026-08-20 16:54:20,1044
2026-08-20 16:54:40,1044
2026-08-20 16:55:00,1044
2026-08-20 16:55:20,1044
2026-08-20 16:55:40,1044
2026-08-20 16:56:00,1044
2026-08-20 16:56:20,1044
2026-08-20 16:56:40,1044
2026-08-20 16:57:00,1044
2026-08-20 16:57:20,1044
2026-08-20 16:57:40,1044
2026-08-20 16:58:00,1044
2026-08-20 16:58:20,1044
2026-08-20 16:58:40,1044
2026-08-20 16:59:00,1044
2026-08-20 16:59:20,1044
2026-08-20 16:59:40,1044
2026-08-20 17:00:00,1044
2026-08-20 17:00:20,1044
2026-08-20 17:00:40,1044
2026-08-20 17:01:00,1044
2026-08-20 17:01:20,1044
2026-08-20 17:01:40,1044
2026-08-20 17:02:00,1044
2026-08-20 17:02:20,1044
2026-08-20 17:02:40,1044
2026-08-20 17:03:00,1044
2026-08-20 17:03:20,1044
2026-08-20 17:03:40,1044
2026-08-20 17:04:00,1044
2026-08-20 17:04:20,1044
2026-08-20 17:04:40,1044
2026-08-20 17:05:00,1044
2026-08-20 17:05:20,1044
2026-08-20 17:05:40,1044
2026-08-20 17:06:00,1044
2026-08-20 17:06:20,1044
2026-08-20 17:06:40,1044
2026-08-20 17:07:00,1044
